method,subject,protocol,score
TS-LR-RPA,21,cross-session,0.97
TS-LR-RPA,22,cross-session,0.72
TS-LR-RPA,23,cross-session,0.9
TS-LR-RPA,24,cross-session,0.66
TS-LR-RPA,25,cross-session,0.76
TS-LR-RPA,26,cross-session,0.49
TS-LR-RPA,27,cross-session,0.47
TS-LR-RPA,28,cross-session,0.8
TS-LR-RPA,29,cross-session,0.95
TS-LR-RPA,30,cross-session,0.59
TS-LR-RPA,31,cross-session,0.75
TS-LR-RPA,32,cross-session,0.95
TS-LR-RPA,33,cross-session,0.91
TS-LR-RPA,34,cross-session,0.49
TS-LR-RPA,35,cross-session,0.79
TS-LR-RPA,36,cross-session,0.98
TS-LR-RPA,37,cross-session,0.91
TS-LR-RPA,38,cross-session,0.54
TS-LR-RPA,39,cross-session,0.79
TS-LR-RPA,40,cross-session,0.68
TS-LR-RPA,41,cross-session,0.64
TS-LR-RPA,42,cross-session,0.64
TS-LR-RPA,43,cross-session,0.63
TS-LR-RPA,44,cross-session,0.95
TS-LR-RPA,45,cross-session,0.87
TS-LR-RPA,46,cross-session,0.59
TS-LR-RPA,47,cross-session,0.63
TS-LR-RPA,48,cross-session,0.65
TS-LR-RPA,49,cross-session,0.68
TS-LR-RPA,50,cross-session,0.54
TS-LR-RPA,51,cross-session,0.57
TS-LR-RPA,52,cross-session,0.64
TS-LR-RPA,53,cross-session,0.68
TS-LR-RPA,54,cross-session,0.59
