method,subject,protocol,score
EEGNet,12,LOSO,0.66
EEGNet,13,LOSO,0.64
EEGNet,14,LOSO,0.66
EEGNet,15,LOSO,0.56
EEGNet,16,LOSO,0.51
EEGNet,17,LOSO,0.67
EEGNet,18,LOSO,0.86
EEGNet,19,LOSO,0.76
EEGNet,20,LOSO,0.74
EEGNet,21,LOSO,0.81
EEGNet,22,LOSO,0.69
EEGNet,23,LOSO,0.71
EEGNet,24,LOSO,0.56
EEGNet,25,LOSO,0.57
EEGNet,26,LOSO,0.56
EEGNet,27,LOSO,0.48
EEGNet,28,LOSO,0.78
EEGNet,29,LOSO,0.56
EEGNet,30,LOSO,0.67
EEGNet,31,LOSO,0.64
EEGNet,32,LOSO,0.95
EEGNet,33,LOSO,0.91
EEGNet,34,LOSO,0.5
EEGNet,35,LOSO,0.49
EEGNet,36,LOSO,0.99
EEGNet,37,LOSO,0.97
EEGNet,38,LOSO,0.63
EEGNet,39,LOSO,0.82
EEGNet,40,LOSO,0.59
EEGNet,41,LOSO,0.58
EEGNet,42,LOSO,0.6
EEGNet,43,LOSO,0.68
EEGNet,44,LOSO,0.81
EEGNet,45,LOSO,0.84
EEGNet,46,LOSO,0.66
EEGNet,47,LOSO,0.57
EEGNet,48,LOSO,0.55
EEGNet,49,LOSO,0.73
EEGNet,50,LOSO,0.53
EEGNet,51,LOSO,0.72
EEGNet,52,LOSO,0.68
EEGNet,53,LOSO,0.66
EEGNet,54,LOSO,0.57
