method,subject,n_channels,score
TS-LR,19,12,0.73
EEGNet,19,12,0.69
CSP+LDA,19,8,0.8399999999999999
MDM,19,8,0.74
TS-LR,19,8,0.7699999999999999
EEGNet,19,8,0.74
CSP+LDA,19,4,0.77
MDM,19,4,0.72
TS-LR,19,4,0.77
EEGNet,19,4,0.82
CSP+LDA,20,62,0.7200000000000001
MDM,20,62,0.55
TS-LR,20,62,0.65
EEGNet,20,62,0.52
CSP+LDA,20,16,0.61
MDM,20,16,0.5900000000000001
TS-LR,20,16,0.67
EEGNet,20,16,0.65
CSP+LDA,20,12,0.64
MDM,20,12,0.5900000000000001
TS-LR,20,12,0.67
EEGNet,20,12,0.5800000000000001
CSP+LDA,20,8,0.6499999999999999
MDM,20,8,0.63
TS-LR,20,8,0.6599999999999999
EEGNet,20,8,0.5
CSP+LDA,20,4,0.5900000000000001
MDM,20,4,0.53
TS-LR,20,4,0.6
EEGNet,20,4,0.49000000000000005
CSP+LDA,21,62,0.9800000000000001
MDM,21,62,0.7799999999999999
TS-LR,21,62,0.96
EEGNet,21,62,0.89
CSP+LDA,21,16,0.96
MDM,21,16,0.9400000000000001
TS-LR,21,16,0.96
EEGNet,21,16,0.9099999999999999
CSP+LDA,21,12,0.96
MDM,21,12,0.95
TS-LR,21,12,0.95
EEGNet,21,12,0.95
CSP+LDA,21,8,0.93
MDM,21,8,0.9200000000000002
TS-LR,21,8,0.93
EEGNet,21,8,0.9
CSP+LDA,21,4,0.85
MDM,21,4,0.8399999999999999
TS-LR,21,4,0.85
EEGNet,21,4,0.8300000000000001
CSP+LDA,22,62,0.63
MDM,22,62,0.5900000000000001
TS-LR,22,62,0.79
EEGNet,22,62,0.5900000000000001
CSP+LDA,22,16,0.7200000000000001
MDM,22,16,0.6500000000000001
TS-LR,22,16,0.77
EEGNet,22,16,0.62
CSP+LDA,22,12,0.6599999999999999
MDM,22,12,0.6599999999999999
TS-LR,22,12,0.7999999999999999
EEGNet,22,12,0.6
CSP+LDA,22,8,0.6900000000000001
MDM,22,8,0.64
TS-LR,22,8,0.79
EEGNet,22,8,0.68
CSP+LDA,22,4,0.7299999999999999
MDM,22,4,0.64
TS-LR,22,4,0.75
EEGNet,22,4,0.5900000000000001
CSP+LDA,23,62,0.93
MDM,23,62,0.64
TS-LR,23,62,0.8300000000000001
EEGNet,23,62,0.62
CSP+LDA,23,16,0.9400000000000001
MDM,23,16,0.8400000000000001
TS-LR,23,16,0.9200000000000002
EEGNet,23,16,0.8099999999999999
CSP+LDA,23,12,0.9
MDM,23,12,0.85
TS-LR,23,12,0.9199999999999999
EEGNet,23,12,0.6
CSP+LDA,23,8,0.9
MDM,23,8,0.8200000000000001
TS-LR,23,8,0.9200000000000002
EEGNet,23,8,0.7699999999999999
CSP+LDA,23,4,0.6799999999999999
MDM,23,4,0.5900000000000001
TS-LR,23,4,0.6699999999999999
EEGNet,23,4,0.78
CSP+LDA,24,62,0.85
MDM,24,62,0.75
TS-LR,24,62,0.8
EEGNet,24,62,0.6300000000000001
CSP+LDA,24,16,0.65
MDM,24,16,0.65
TS-LR,24,16,0.6799999999999999
EEGNet,24,16,0.47000000000000003
CSP+LDA,24,12,0.5900000000000001
MDM,24,12,0.63
TS-LR,24,12,0.6
EEGNet,24,12,0.6599999999999999
CSP+LDA,24,8,0.6599999999999999
MDM,24,8,0.65
TS-LR,24,8,0.67
EEGNet,24,8,0.53
CSP+LDA,24,4,0.6
MDM,24,4,0.6399999999999999
TS-LR,24,4,0.61
EEGNet,24,4,0.6
CSP+LDA,25,62,0.5599999999999999
MDM,25,62,0.61
TS-LR,25,62,0.6599999999999999
EEGNet,25,62,0.4699999999999999
CSP+LDA,25,16,0.5700000000000001
MDM,25,16,0.5700000000000001
TS-LR,25,16,0.5900000000000001
EEGNet,25,16,0.42000000000000004
CSP+LDA,25,12,0.47000000000000003
MDM,25,12,0.5599999999999999
TS-LR,25,12,0.53
EEGNet,25,12,0.53
CSP+LDA,25,8,0.5199999999999999
MDM,25,8,0.62
TS-LR,25,8,0.5599999999999999
EEGNet,25,8,0.49000000000000005
CSP+LDA,25,4,0.5399999999999999
MDM,25,4,0.58
TS-LR,25,4,0.54
EEGNet,25,4,0.43
CSP+LDA,26,62,0.4800000000000001
MDM,26,62,0.52
TS-LR,26,62,0.54
EEGNet,26,62,0.52
CSP+LDA,26,16,0.55
MDM,26,16,0.5199999999999999
TS-LR,26,16,0.63
EEGNet,26,16,0.4699999999999999
CSP+LDA,26,12,0.6100000000000001
MDM,26,12,0.55
TS-LR,26,12,0.6399999999999999
EEGNet,26,12,0.45999999999999996
CSP+LDA,26,8,0.52
